11.871540847483919	-34	-0.9005048561802305
11.337875204816575	-33	-1.1027406903520076
10.804209562149238	-32	-1.3049765245237797
10.270543919481893	-31	-1.5072123586955566
9.736878276814547	-30	-1.7094481928673333
9.203212634147208	-29	-1.9116840270391076
8.669546991479868	-28	-2.113919861210882
8.135881348812523	-27	-2.3161556953826583
7.60221570614518	-26	-2.518391529554435
7.068550063477834	-25	-2.7206273637262126
6.534884420810496	-24	-2.922863197897985
6.001218778143153	-23	-3.125099032069761
5.467553135475806	-22	-3.327334866241541
4.933887492808465	-21	-3.5295707004133146
4.400221850141122	-20	-3.7318065345850897
3.86655620747378	-19	-3.9340423687568653
3.33289056480644	-18	-4.136278202928638
2.7992249221390955	-17	-4.338514037100415
2.2655592794717507	-16	-4.540749871272193
1.7318936368044129	-15	-4.7429857054439655
1.1982279941370666	-14	-4.945221539615742
0.6645623514697283	-13	-5.147457373787517
0.1308967088023835	-12	-5.3496932079592945
-0.4027689338649606	-11	-5.55192904213107
-0.9364345765323022	-10	-5.754164876302845
-1.4701002191996453	-9	-5.956400710474621
-2.0037658618669867	-8	-6.158636544646396
-2.5374315045343363	-7	-6.3608723788181765
-3.071097147201675	-6	-6.563108212989946
-3.6047627898690138	-5	-6.765344047161722
-4.138428432536363	-4	-6.967579881333502
-4.6720940752037015	-3	-7.169815715505275
-5.205759717871046	-2	-7.372051549677051
-5.739425360538388	-1	-7.574287383848828
-6.273091003205729	0	-7.7765232180206025
-6.806756645873074	1	-7.9787590521923795
-7.340422288540412	2	-8.180994886364152
-7.874087931207754	3	-8.383230720535927
-8.407753573875103	4	-8.585466554707708
-8.941419216542444	5	-8.787702388879481
-9.475084859209778	6	-8.989938223051253
-10.008750501877126	7	-9.19217405722303
-10.542416144544468	8	-9.394409891394806
-11.076081787211816	9	-9.596645725566589
-11.609747429879159	10	-9.79888155973836
-12.143413072546494	11	-10.001117393910132
-12.677078715213849	12	-10.203353228081916
-13.21074435788119	13	-10.40558906225369
-13.74441000054853	14	-10.607824896425468
-14.27807564321587	15	-10.810060730597238
-14.811741285883208	16	-11.012296564769011
-15.345406928550547	17	-11.214532398940785
-15.8790725712179	18	-11.416768233112567
-16.412738213885238	19	-11.619004067284338
-16.946403856552575	20	-11.82123990145611
-17.480069499219923	21	-12.02347573562789
-18.013735141887256	22	-12.225711569799659
-18.547400784554615	23	-12.427947403971451
-19.081066427221955	24	-12.630183238143236
-19.614732069889296	25	-12.832419072314993
-20.14839771255664	26	-13.034654906486772
-20.682063355223985	27	-13.236890740658557
-21.215728997891325	28	-13.439126574830324
-21.74939464055867	29	-13.641362409002099
-22.283060283226003	30	-13.84359824317387
-22.816725925893348	31	-14.045834077345653
-23.35039156856069	32	-14.24806991151742
-23.88405721122804	33	-14.450305745689201
-24.417722853895377	34	-14.652541579860975
-24.951388496562718	35	-14.854777414032748
